Area,Date,AvailablePlots
Adambakkam,2023-01,10
Adambakkam,2023-02,10
Adambakkam,2023-03,9
Adambakkam,2023-04,9
Adambakkam,2023-05,8
Adambakkam,2023-06,7
Adambakkam,2023-07,6
Adambakkam,2023-08,6
Adambakkam,2023-09,6
Adambakkam,2023-10,6
Adambakkam,2023-11,5
Adambakkam,2023-12,4
Adambakkam,2024-01,5
Adambakkam,2024-02,5
Adambakkam,2024-03,4
Adambakkam,2024-04,4
Adambakkam,2024-05,5
Adambakkam,2024-06,4
Adambakkam,2024-07,4
Adambakkam,2024-08,4
Adambakkam,2024-09,4
Adambakkam,2024-10,4
Adambakkam,2024-11,5
Adambakkam,2024-12,4
Adambakkam,2025-01,4
Adambakkam,2025-02,4
Adambakkam,2025-03,4
Adambakkam,2025-04,4
Adambakkam,2025-05,4
Adambakkam,2025-06,4
Adambakkam,2025-07,4
Adambakkam,2025-08,4
Adambakkam,2025-09,4
Adambakkam,2025-10,4
Adyar,2023-01,10
Adyar,2023-02,10
Adyar,2023-03,10
Adyar,2023-04,9
Adyar,2023-05,8
Adyar,2023-06,7
Adyar,2023-07,6
Adyar,2023-08,5
Adyar,2023-09,4
Adyar,2023-10,4
Adyar,2023-11,4
Adyar,2023-12,5
Adyar,2024-01,4
Adyar,2024-02,5
Adyar,2024-03,4
Adyar,2024-04,4
Adyar,2024-05,4
Adyar,2024-06,5
Adyar,2024-07,4
Adyar,2024-08,4
Adyar,2024-09,4
Adyar,2024-10,4
Adyar,2024-11,4
Adyar,2024-12,4
Adyar,2025-01,5
Adyar,2025-02,4
Adyar,2025-03,4
Adyar,2025-04,4
Adyar,2025-05,4
Adyar,2025-06,4
Adyar,2025-07,5
Adyar,2025-08,4
Adyar,2025-09,4
Adyar,2025-10,5
Alandur,2023-01,9
Alandur,2023-02,9
Alandur,2023-03,9
Alandur,2023-04,8
Alandur,2023-05,7
Alandur,2023-06,7
Alandur,2023-07,6
Alandur,2023-08,5
Alandur,2023-09,4
Alandur,2023-10,4
Alandur,2023-11,5
Alandur,2023-12,4
Alandur,2024-01,5
Alandur,2024-02,5
Alandur,2024-03,4
Alandur,2024-04,4
Alandur,2024-05,4
Alandur,2024-06,4
Alandur,2024-07,4
Alandur,2024-08,5
Alandur,2024-09,4
