Area,Date,AveragePrice
Adambakkam,2020-01,6182822
Adambakkam,2020-02,5982457
Adambakkam,2020-03,6035787
Adambakkam,2020-04,6129747
Adambakkam,2020-05,6187794
Adambakkam,2020-06,6305303
Adambakkam,2020-07,6069993
Adambakkam,2020-08,6378781
Adambakkam,2020-09,6407075
Adambakkam,2020-10,6159871
Adambakkam,2020-11,6174128
Adambakkam,2020-12,6407514
Adambakkam,2021-01,6144242
Adambakkam,2021-02,6511485
Adambakkam,2021-03,6489442
Adambakkam,2021-04,6267049
Adambakkam,2021-05,6312781
Adambakkam,2021-06,6370015
Adambakkam,2021-07,6522778
Adambakkam,2021-08,6381639
Adambakkam,2021-09,6653342
Adambakkam,2021-10,6506891
Adambakkam,2021-11,6327296
Adambakkam,2021-12,6502868
Adambakkam,2022-01,6679109
Adambakkam,2022-02,6576503
Adambakkam,2022-03,6474571
Adambakkam,2022-04,6656222
Adambakkam,2022-05,6716972
Adambakkam,2022-06,6830846
Adambakkam,2022-07,6754414
Adambakkam,2022-08,6545136
Adambakkam,2022-09,6528859
Adambakkam,2022-10,6769469
Adambakkam,2022-11,6659530
Adambakkam,2022-12,6611963
Adambakkam,2023-01,6798374
Adambakkam,2023-02,6639544
Adambakkam,2023-03,6869669
Adambakkam,2023-04,6890689
Adambakkam,2023-05,7031325
Adambakkam,2023-06,6864147
Adambakkam,2023-07,6964803
Adambakkam,2023-08,6918865
Adambakkam,2023-09,7094407
Adambakkam,2023-10,7145996
Adambakkam,2023-11,7174223
Adambakkam,2023-12,7072298
Adambakkam,2024-01,7011930
Adambakkam,2024-02,7105904
Adambakkam,2024-03,7285560
Adambakkam,2024-04,7040779
Adambakkam,2024-05,6964950
Adambakkam,2024-06,7355052
Adambakkam,2024-07,7249288
Adambakkam,2024-08,7309693
Adambakkam,2024-09,7155295
Adambakkam,2024-10,7251123
Adambakkam,2024-11,7391581
Adambakkam,2024-12,7396170
Adambakkam,2025-01,7321821
Adambakkam,2025-02,7312506
Adambakkam,2025-03,7509826
Adambakkam,2025-04,7246654
Adambakkam,2025-05,7584252
Adambakkam,2025-06,7551057
Adambakkam,2025-07,7326268
Adambakkam,2025-08,7427637
Adambakkam,2025-09,7293617
Adambakkam,2025-10,7388714
Adyar,2020-01,9423743
Adyar,2020-02,9078704
Adyar,2020-03,9224735
Adyar,2020-04,9007887
Adyar,2020-05,9405430
Adyar,2020-06,9158212
Adyar,2020-07,9229008
Adyar,2020-08,9647088
Adyar,2020-09,9320911
Adyar,2020-10,9538163
Adyar,2020-11,9496975
Adyar,2020-12,9728861
Adyar,2021-01,9611792
Adyar,2021-02,9424628
Adyar,2021-03,9597649
Adyar,2021-04,9486581
Adyar,2021-05,9822661
Adyar,2021-06,9543180
Adyar,2021-07,9540989
Adyar,2021-08,9970805
Adyar,2021-09,9787892
Adyar,2021-10,9617608
Adyar,2021-11,10048002
Adyar,2021-12,9864587
Adyar,2022-01,10160260
Adyar,2022-02,9982990
Adyar,2022-03,9899909
Adyar,2022-04,10193594
Adyar,2022-05,10153056
Adyar,2022-06,10321571
Adyar,2022-07,10359942
Adyar,2022-08,9931743
Adyar,2022-09,10270891
Adyar,2022-10,9907490
Adyar,2022-11,10330069
Adyar,2022-12,10392643
Adyar,2023-01,10034033
Adyar,2023-02,10143725
Adyar,2023-03,10641365
Adyar,2023-04,10178116
Adyar,2023-05,10277954
Adyar,2023-06,10334036
Adyar,2023-07,10355847
Adyar,2023-08,10777314
Adyar,2023-09,10541481
Adyar,2023-10,10642454
Adyar,2023-11,10362372
Adyar,2023-12,10885079
Adyar,2024-01,10793386
Adyar,2024-02,10370069
Adyar,2024-03,11024085
Adyar,2024-04,10498611
Adyar,2024-05,11069583
Adyar,2024-06,10767316
Adyar,2024-07,10801032
Adyar,2024-08,10983260
Adyar,2024-09,10937663
Adyar,2024-10,10812422
Adyar,2024-11,10985637
Adyar,2024-12,10784365
Adyar,2025-01,10736406
Adyar,2025-02,11271761
Adyar,2025-03,11228277
Adyar,2025-04,11123083
Adyar,2025-05,11055721
Adyar,2025-06,11031604
Adyar,2025-07,10969757
Adyar,2025-08,11142227
Adyar,2025-09,11436567
Adyar,2025-10,11357826
Alandur,2020-01,7318068
Alandur,2020-02,7425542
Alandur,2020-03,7365210
Alandur,2020-04,7063703
Alandur,2020-05,7430896
Alandur,2020-06,7382031
Alandur,2020-07,7160814
Alandur,2020-08,7182469
Alandur,2020-09,7443940
Alandur,2020-10,7591370
Alandur,2020-11,7267066
Alandur,2020-12,7515850
Alandur,2021-01,7425307
Alandur,2021-02,7448897
Alandur,2021-03,7494614
Alandur,2021-04,7343313
Alandur,2021-05,7617477
Alandur,2021-06,7721170
Alandur,2021-07,7672869
Alandur,2021-08,7589892
Alandur,2021-09,7515211
Alandur,2021-10,7863749
Alandur,2021-11,7678908
Alandur,2021-12,7543544
Alandur,2022-01,8005266
Alandur,2022-02,7653734
Alandur,2022-03,7776773
Alandur,2022-04,7716947
Alandur,2022-05,7703855
Alandur,2022-06,7974145
