Area,Date,RentalsAvailable
Adambakkam,2023-01,304
Adambakkam,2023-02,298
Adambakkam,2023-03,297
Adambakkam,2023-04,301
Adambakkam,2023-05,327
Adambakkam,2023-06,311
Adambakkam,2023-07,309
Adambakkam,2023-08,316
Adambakkam,2023-09,327
Adambakkam,2023-10,315
Adambakkam,2023-11,333
Adambakkam,2023-12,318
Adambakkam,2024-01,322
Adambakkam,2024-02,306
Adambakkam,2024-03,333
Adambakkam,2024-04,315
Adambakkam,2024-05,310
Adambakkam,2024-06,331
Adambakkam,2024-07,312
Adambakkam,2024-08,322
Adambakkam,2024-09,323
Adambakkam,2024-10,335
Adambakkam,2024-11,339
Adambakkam,2024-12,325
Adambakkam,2025-01,335
Adambakkam,2025-02,342
Adambakkam,2025-03,324
Adambakkam,2025-04,323
Adambakkam,2025-05,332
Adambakkam,2025-06,320
Adambakkam,2025-07,332
Adambakkam,2025-08,329
Adambakkam,2025-09,350
Adambakkam,2025-10,338
Adyar,2023-01,332
Adyar,2023-02,309
Adyar,2023-03,329
Adyar,2023-04,328
Adyar,2023-05,315
Adyar,2023-06,320
Adyar,2023-07,339
Adyar,2023-08,315
Adyar,2023-09,323
Adyar,2023-10,315
Adyar,2023-11,325
Adyar,2023-12,316
Adyar,2024-01,338
Adyar,2024-02,341
Adyar,2024-03,340
Adyar,2024-04,342
Adyar,2024-05,345
Adyar,2024-06,330
Adyar,2024-07,326
Adyar,2024-08,348
Adyar,2024-09,325
Adyar,2024-10,343
Adyar,2024-11,330
Adyar,2024-12,335
Adyar,2025-01,346
Adyar,2025-02,337
Adyar,2025-03,336
Adyar,2025-04,334
Adyar,2025-05,335
Adyar,2025-06,344
Adyar,2025-07,359
Adyar,2025-08,332
Adyar,2025-09,338
Adyar,2025-10,335
Alandur,2023-01,298
Alandur,2023-02,293
Alandur,2023-03,297
Alandur,2023-04,292
Alandur,2023-05,290
Alandur,2023-06,298
Alandur,2023-07,315
Alandur,2023-08,294
Alandur,2023-09,316
Alandur,2023-10,297
Alandur,2023-11,306
Alandur,2023-12,315
Alandur,2024-01,300
Alandur,2024-02,311
Alandur,2024-03,317
Alandur,2024-04,293
Alandur,2024-05,294
Alandur,2024-06,313
Alandur,2024-07,321
Alandur,2024-08,301
Alandur,2024-09,297
Alandur,2024-10,297
Alandur,2024-11,301
Alandur,2024-12,302
Alandur,2025-01,305
Alandur,2025-02,306
Alandur,2025-03,315
Alandur,2025-04,319
Alandur,2025-05,308
Alandur,2025-06,328
Alandur,2025-07,314
Alandur,2025-08,327
Alandur,2025-09,310
Alandur,2025-10,307
Alapakkam,2023-01,256
Alapakkam,2023-02,277
Alapakkam,2023-03,272
Alapakkam,2023-04,257
Alapakkam,2023-05,266
Alapakkam,2023-06,279
Alapakkam,2023-07,267
Alapakkam,2023-08,283
Alapakkam,2023-09,281
Alapakkam,2023-10,262
Alapakkam,2023-11,261
Alapakkam,2023-12,286
Alapakkam,2024-01,270
Alapakkam,2024-02,268
Alapakkam,2024-03,284
Alapakkam,2024-04,289
Alapakkam,2024-05,291
Alapakkam,2024-06,276
Alapakkam,2024-07,289
Alapakkam,2024-08,284
Alapakkam,2024-09,268
Alapakkam,2024-10,282
Alapakkam,2024-11,274
Alapakkam,2024-12,270
Alapakkam,2025-01,270
Alapakkam,2025-02,292
Alapakkam,2025-03,282
Alapakkam,2025-04,293
Alapakkam,2025-05,297
Alapakkam,2025-06,282
Alapakkam,2025-07,290
Alapakkam,2025-08,282
Alapakkam,2025-09,296
Alapakkam,2025-10,298
Alwarpet,2023-01,389
Alwarpet,2023-02,387
Alwarpet,2023-03,369
Alwarpet,2023-04,365
Alwarpet,2023-05,392
Alwarpet,2023-06,395
Alwarpet,2023-07,400
Alwarpet,2023-08,393
Alwarpet,2023-09,378
Alwarpet,2023-10,394
Alwarpet,2023-11,390
Alwarpet,2023-12,402
Alwarpet,2024-01,398
Alwarpet,2024-02,403
Alwarpet,2024-03,395
Alwarpet,2024-04,374
Alwarpet,2024-05,378
Alwarpet,2024-06,405
Alwarpet,2024-07,377
Alwarpet,2024-08,411
Alwarpet,2024-09,377
Alwarpet,2024-10,389
Alwarpet,2024-11,381
Alwarpet,2024-12,380
Alwarpet,2025-01,399
Alwarpet,2025-02,390
Alwarpet,2025-03,401
Alwarpet,2025-04,416
Alwarpet,2025-05,408
Alwarpet,2025-06,399
Alwarpet,2025-07,398
Alwarpet,2025-08,404
Alwarpet,2025-09,388
Alwarpet,2025-10,406
Alwarthirunagar,2023-01,245
Alwarthirunagar,2023-02,261
Alwarthirunagar,2023-03,265
Alwarthirunagar,2023-04,263
Alwarthirunagar,2023-05,247
Alwarthirunagar,2023-06,254
Alwarthirunagar,2023-07,266
Alwarthirunagar,2023-08,256
Alwarthirunagar,2023-09,267
Alwarthirunagar,2023-10,269
Alwarthirunagar,2023-11,257
Alwarthirunagar,2023-12,255
Alwarthirunagar,2024-01,258
Alwarthirunagar,2024-02,265
Alwarthirunagar,2024-03,269
Alwarthirunagar,2024-04,253
Alwarthirunagar,2024-05,263
Alwarthirunagar,2024-06,276
Alwarthirunagar,2024-07,253
Alwarthirunagar,2024-08,271
Alwarthirunagar,2024-09,277
Alwarthirunagar,2024-10,272
Alwarthirunagar,2024-11,261
Alwarthirunagar,2024-12,262
Alwarthirunagar,2025-01,274
Alwarthirunagar,2025-02,274
Alwarthirunagar,2025-03,258
Alwarthirunagar,2025-04,267
Alwarthirunagar,2025-05,284
Alwarthirunagar,2025-06,281
Alwarthirunagar,2025-07,286
Alwarthirunagar,2025-08,265
Alwarthirunagar,2025-09,287
Alwarthirunagar,2025-10,271
Ambattur,2023-01,193
Ambattur,2023-02,199
Ambattur,2023-03,196
Ambattur,2023-04,201
Ambattur,2023-05,196
Ambattur,2023-06,207
Ambattur,2023-07,203
Ambattur,2023-08,199
Ambattur,2023-09,200
Ambattur,2023-10,203
Ambattur,2023-11,215
Ambattur,2023-12,204
Ambattur,2024-01,211
Ambattur,2024-02,211
Ambattur,2024-03,211
Ambattur,2024-04,210
Ambattur,2024-05,212
Ambattur,2024-06,209
Ambattur,2024-07,202
Ambattur,2024-08,211
Ambattur,2024-09,207
Ambattur,2024-10,214
Ambattur,2024-11,225
Ambattur,2024-12,214
Ambattur,2025-01,213
Ambattur,2025-02,218
Ambattur,2025-03,217
Ambattur,2025-04,220
Ambattur,2025-05,219
Ambattur,2025-06,225
Ambattur,2025-07,229
Ambattur,2025-08,228
Ambattur,2025-09,213
Ambattur,2025-10,219
Aminjikarai,2023-01,343
Aminjikarai,2023-02,357
Aminjikarai,2023-03,358
Aminjikarai,2023-04,351
Aminjikarai,2023-05,355
Aminjikarai,2023-06,358
Aminjikarai,2023-07,360
Aminjikarai,2023-08,358
Aminjikarai,2023-09,364
Aminjikarai,2023-10,369
Aminjikarai,2023-11,369
Aminjikarai,2023-12,371
Aminjikarai,2024-01,354
Aminjikarai,2024-02,366
Aminjikarai,2024-03,368
Aminjikarai,2024-04,348
Aminjikarai,2024-05,362
Aminjikarai,2024-06,369
Aminjikarai,2024-07,383
Aminjikarai,2024-08,368
Aminjikarai,2024-09,356
Aminjikarai,2024-10,380
Aminjikarai,2024-11,356
Aminjikarai,2024-12,361
Aminjikarai,2025-01,376
Aminjikarai,2025-02,370
Aminjikarai,2025-03,367
Aminjikarai,2025-04,359
Aminjikarai,2025-05,390
Aminjikarai,2025-06,365
Aminjikarai,2025-07,363
Aminjikarai,2025-08,385
Aminjikarai,2025-09,365
Aminjikarai,2025-10,364
Anna Nagar,2023-01,328
Anna Nagar,2023-02,324
Anna Nagar,2023-03,333
Anna Nagar,2023-04,322
Anna Nagar,2023-05,312
Anna Nagar,2023-06,331
Anna Nagar,2023-07,327
Anna Nagar,2023-08,338
Anna Nagar,2023-09,308
Anna Nagar,2023-10,316
Anna Nagar,2023-11,314
Anna Nagar,2023-12,330
Anna Nagar,2024-01,314
Anna Nagar,2024-02,325
Anna Nagar,2024-03,312
Anna Nagar,2024-04,326
Anna Nagar,2024-05,321
Anna Nagar,2024-06,341
Anna Nagar,2024-07,334
Anna Nagar,2024-08,319
Anna Nagar,2024-09,332
Anna Nagar,2024-10,338
Anna Nagar,2024-11,328
Anna Nagar,2024-12,327
Anna Nagar,2025-01,330
Anna Nagar,2025-02,337
Anna Nagar,2025-03,321
Anna Nagar,2025-04,322
Anna Nagar,2025-05,350
Anna Nagar,2025-06,331
Anna Nagar,2025-07,336
Anna Nagar,2025-08,351
Anna Nagar,2025-09,341
Anna Nagar,2025-10,329
Annanur,2023-01,280
Annanur,2023-02,276
Annanur,2023-03,277
Annanur,2023-04,275
Annanur,2023-05,270
Annanur,2023-06,289
Annanur,2023-07,297
Annanur,2023-08,283
Annanur,2023-09,278
Annanur,2023-10,279
Annanur,2023-11,279
Annanur,2023-12,294
Annanur,2024-01,286
Annanur,2024-02,277
Annanur,2024-03,281
Annanur,2024-04,300
Annanur,2024-05,282
Annanur,2024-06,281
Annanur,2024-07,305
Annanur,2024-08,286
Annanur,2024-09,309
Annanur,2024-10,283
Annanur,2024-11,299
Annanur,2024-12,304
Annanur,2025-01,298
Annanur,2025-02,309
Annanur,2025-03,297
Annanur,2025-04,288
Annanur,2025-05,310
Annanur,2025-06,299
Annanur,2025-07,302
Annanur,2025-08,304
Annanur,2025-09,317
Annanur,2025-10,306
Arumbakkam,2023-01,316
Arumbakkam,2023-02,293
Arumbakkam,2023-03,318
Arumbakkam,2023-04,298
Arumbakkam,2023-05,292
Arumbakkam,2023-06,305
Arumbakkam,2023-07,294
Arumbakkam,2023-08,319
Arumbakkam,2023-09,311
Arumbakkam,2023-10,300
Arumbakkam,2023-11,310
Arumbakkam,2023-12,300
Arumbakkam,2024-01,312
Arumbakkam,2024-02,304
Arumbakkam,2024-03,298
Arumbakkam,2024-04,309
Arumbakkam,2024-05,303
Arumbakkam,2024-06,299
Arumbakkam,2024-07,320
Arumbakkam,2024-08,315
Arumbakkam,2024-09,301
Arumbakkam,2024-10,327
Arumbakkam,2024-11,315
